id,mass,GeoLocation
11869,3500.0,"(55.46667, 13.78333)"
11870,6100.0,"(27.33333, 35.66667)"
11875,1000.0,"(10.0, -84.1)"
11878,20000.0,"(59.85, 17.66667)"
11883,750.0,"(33.6, 130.43333)"
11884,4500.0,"(55.9, -4.23333)"
11889,414.0,"(34.45, 132.38333)"
44714,167.7,"(1.345, 31.47278)"
11893,305.5,"(64.43333, 21.2)"
11894,220000.0,"(34.9, -110.18333)"
11895,1415.0,"(9.06667, 38.41667)"
11901,230000.0,"(41.8, -91.86667)"
11904,2420.0,"(21.3, -157.86667)"
11913,180.0,"(35.66667, 115.5)"
11915,266.1,"(39.35, -100.45)"
11916,49000.0,"(46.1, 16.33333)"
54719,1600.0,"(26.46469, 106.63241)"
11986,112.0,"(50.3, 8.91667)"
11989,14000.0,"(61.18333, 22.68333)"
11992,2000.0,"(52.28333, 7.7)"
11993,2500.0,"(-20.0, -45.0)"
11994,,"(38.0, 35.0)"
11995,3973.0,"(58.2, 82.93333)"
12000,3457.0,"(-32.1, 28.33333)"
12003,1200.0,"(-23.2, -51.83333)"
12004,7330.0,"(-6.03333, 145.36667)"
12027,27000.0,"(39.75, 46.66667)"
12028,880.0,"(39.08333, -94.4)"
12037,3000.0,"(41.0, 112.0)"
12039,4576.0,"(53.415, -111.3375)"
12043,7000.0,"(-25.5, -54.5)"
12049,1300.0,"(-8.93333, 33.8)"
12053,3050.0,"(-31.18333, -57.95)"
12056,2024.0,"(-3.4, -44.33333)"
12058,4720.0,"(26.59083, -12.95217)"
12063,704.5,"(-8.41667, 32.43333)"
12065,48000.0,"(-32.5, 21.9)"
12067,973.0,"(26.75, 68.41667)"
12068,700.0,
12069,1967.0,"(31.0, 75.0)"
12072,22.0,"(18.75, 75.33333)"
12074,20500.0,"(39.7, 105.8)"
12078,34000.0,"(43.83333, 20.44167)"
12079,450.0,
51589,3667.0,"(46.42137, 14.05217)"
12085,5900.0,"(31.3, 72.38333)"
12086,222.0,"(31.91667, 104.91667)"
12087,600000.0,"(30.80833, 109.5)"
12171,4000000.0,"(44.05, 126.16667)"
47362,100.0,"(22.68, 70.31333)"
12173,30.0,"(55.7, 24.4)"
12198,40300.0,"(40.35, -104.9)"
12199,483.0,"(-11.85, 15.83333)"
12202,5000.0,"(45.43333, -0.45)"
12203,100000.0,"(35.5, 115.41667)"
12207,680.0,"(12.85, 76.8)"
12209,32490.0,"(-7.71667, 111.2)"
12210,950.0,"(35.2, 118.8)"
12213,25250.0,"(38.74028, -7.27)"
12214,91000.0,"(44.71667, 4.3)"
12218,3000.0,"(47.35, 21.3)"
12220,13400.0,"(11.85, 8.21667)"
12221,89.0,"(27.08333, 78.33333)"
12222,230.0,"(27.25, 79.96667)"
12227,1900.0,"(49.86667, 30.83333)"
12228,2000.0,"(15.0, 48.3)"
12229,200000.0,"(55.43333, 53.25)"
12230,350.0,"(12.38333, 78.51667)"
12231,577.0,"(45.13333, 21.66667)"
12232,950.0,"(-6.83333, 29.5)"
12236,4500.0,"(17.83333, 73.98333)"
12238,2770.0,"(26.03333, 81.46667)"
12240,448.0,"(36.04167, 139.95667)"
12241,1293.0,"(14.18333, 75.8)"
12243,299.0,"(31.6, 65.78333)"
12245,1630.0,"(-7.0, 115.5)"
12246,400.0,"(32.08333, 76.3)"
12251,11355.0,"(4.7, 33.63333)"
47357,1600.0,"(20.33916, 73.22329)"
12253,3500.0,"(42.45, 73.36667)"
12256,3000.0,"(47.21667, 81.01667)"
12258,2220.0,"(-3.5, 35.58333)"
12260,180.0,"(12.9, 7.15)"
12262,22000.0,"(27.8, 67.16667)"
12263,2950.0,"(31.58333, 71.6)"
12264,41730.0,"(-35.08333, 139.91667)"
12266,710.0,"(35.36667, 136.76667)"
30740,16820.0,"(29.58333, 77.58333)"
35465,1500.0,"(11.33333, 10.08333)"
47351,6800.0,"(25.14333, 75.81333)"
12268,85000.0,"(39.26333, 31.78)"
12270,3300.0,"(-7.75, 112.01667)"
53654,5760.0,"(36.54194, 29.41822)"
12275,6937.0,"(29.45, -96.0)"
12276,6669.2,"(20.4625, 86.70278)"
12282,5000.0,"(48.4, -3.3)"
12284,80000.0,"(48.11667, -3.08333)"
12286,135000.0,"(38.98333, 141.61667)"
12288,13600.0,"(29.53333, 72.3)"
12289,3698.0,"(25.55, 83.11667)"
12291,1500.0,"(50.625, 35.075)"
12294,450.0,"(26.95, 77.88333)"
12296,100.0,"(28.01667, 75.81667)"
12297,6109.0,"(56.75, 75.33333)"
12298,9700.0,"(25.1, 81.53333)"
12299,3200.0,"(16.0, 36.0)"
12300,100000.0,"(14.0, 28.0)"
12301,737.6,"(54.4, 10.15)"
12303,1500.0,"(16.58333, -11.33333)"
12305,331.0,"(36.85, 138.38333)"
12306,195.0,"(55.0, 34.0)"
12307,19000.0,"(12.76667, 9.8)"
12308,772.0,"(43.58333, -89.6)"
12309,140.0,"(54.66667, -7.66667)"
12316,67.4,"(11.63333, 24.68333)"
12321,97.7,"(30.75, -95.95)"
12325,1550.0,"(48.16667, 22.30833)"
12326,202.6,"(43.38333, -80.38333)"
12332,3250.0,"(51.6, 10.8)"
12335,500000.0,"(48.9, 22.4)"
12336,136.0,"(34.73333, 135.16667)"
12342,11510.0,"(34.3, 133.95)"
12343,238.0,"(35.73333, 139.75)"
12344,90.0,"(42.51667, 26.16667)"
53810,4300.0,"(48.76367, 21.17633)"
12353,16500.0,"(49.32694, 7.46472)"
12355,2440.0,"(54.03333, 40.9)"
12357,4000.0,"(54.33333, 56.08333)"
12363,845.2,"(56.8, 77.0)"
12364,50000.0,"(47.83333, 30.76667)"
12368,2250.0,"(51.15, 31.7)"
12369,453.6,"(30.73111, 66.80222)"
12370,6000.0,"(50.75, 33.5)"
12373,3719.0,"(41.11667, 45.0)"
12377,200000.0,"(55.78333, 61.36667)"
12379,1100000.0,"(42.25, 59.2)"
12381,4460.0,"(37.05, 138.38333)"
12382,5.0,"(29.68333, 78.38333)"
12383,23.0,"(44.51667, 39.3)"
12384,45000.0,"(10.83333, 76.03333)"
12385,4047.0,"(55.2, 75.33333)"
12390,45000.0,"(32.03333, 130.63333)"
12392,2800.0,"(47.08333, 1.75)"
12394,399.0,"(20.66667, -101.28333)"
12395,2000.0,"(-37.33333, -61.53333)"
12396,45000.0,"(-31.23333, -58.16667)"
12408,3833.0,"(44.28333, 5.58333)"
12433,900.0,"(26.78333, 82.71667)"
12434,37000.0,"(48.76667, 0.63333)"
32531,9.6,
12435,212.5,"(21.86667, 76.03333)"
12451,372.0,"(24.45, 78.56667)"
12455,51700.0,"(47.7, 1.06667)"
12456,7000.0,"(43.75, 5.11667)"
12461,2300.0,"(58.85, 16.73333)"
12464,1282.0,"(46.24167, 126.19611)"
12465,7000.0,"(47.75, 16.23333)"
12466,14250.0,"(33.13333, 115.16667)"
12740,1060.0,"(51.9, -1.11667)"
12743,800.0,"(52.45, 51.56667)"
12748,3000.0,"(47.16667, 0.43333)"
12749,780.0,"(48.53333, -0.86667)"
12755,51500.0,"(35.88333, -99.33333)"
12756,460.0,"(-25.66667, 28.36667)"
12759,271.4,"(52.66667, -6.96667)"
12760,877.0,"(34.58333, -87.5)"
12765,700.0,"(52.26667, 32.85)"
12769,125.0,"(48.35, 3.25)"
12772,2000.0,"(50.36667, 4.73333)"
14646,4000.0,"(-26.15, 26.18333)"
14650,6862.0,"(56.65, 15.86667)"
14652,50000.0,"(52.56667, -8.78333)"
14655,1862.0,"(52.75, 12.9)"
14659,498.0,"(31.63333, 118.98333)"
14661,12800.0,"(50.2, 14.85)"
14664,491.0,"(37.91667, -92.08333)"
14670,5213.0,"(56.0, 26.43333)"
14675,1000.0,"(29.53333, 71.8)"
14678,40000.0,"(26.96556, 72.62667)"
52843,329.7,"(38.70066, -77.21163)"
14708,25.0,"(38.0, -0.83333)"
14711,17000.0,"(36.00833, -95.15)"
14716,1300.0,"(38.25, -85.75)"
14718,59000.0,"(52.0, 19.91667)"
14721,9241.0,"(24.95, 75.15)"
14724,3500.0,"(47.85, 0.48333)"
14753,340.0,"(32.03333, -84.76667)"
14754,2520.0,"(24.8, 103.3)"
14755,11000.0,"(56.21667, 13.03333)"
14756,885.0,"(61.2, 27.7)"
14757,14000.0,"(46.21667, 5.0)"
14759,,"(-7.21667, 29.43333)"
14764,540.0,"(19.0, 97.0)"
15370,1500.0,"(-5.2, -36.66667)"
15371,93200.0,"(-15.21222, 35.24222)"
15372,1995.0,"(-28.83333, 31.95)"
15379,1000.0,"(25.91667, 86.36667)"
15380,400.0,"(-7.75, 111.53333)"
15382,400.0,"(40.41667, -3.71667)"
15383,600.0,"(-26.16667, -49.93333)"
15386,5000.0,"(37.86667, 27.51667)"
15387,666.6,"(-19.48333, 31.65)"
47361,70500.0,"(27.66667, 95.78333)"
30751,4629.0,"(12.83333, 9.38333)"
15393,150.0,"(32.21667, -104.0)"
15394,2000.0,"(9.5, 31.75)"
15395,470.0,"(-3.13333, 33.51667)"
15397,,"(-28.93333, -63.23333)"
15400,807.0,"(-29.45, 26.76667)"
15401,1000.0,"(45.21667, 62.08333)"
15402,1700.0,"(23.05, 86.7)"
15403,50.0,"(20.96667, 76.1)"
15405,22300.0,"(-17.65, 31.6)"
15409,3555.0,"(45.81667, 44.63333)"
15414,4500.0,"(34.23333, 72.08333)"
15418,114.0,
15419,340.0,"(42.71667, -99.38333)"
48973,25.81,"(54.76183, 11.46745)"
15421,3200.0,"(4.66667, 29.25)"
15422,2500.0,"(-22.25, -49.93333)"
15424,28400.0,"(41.9, -91.6)"
15426,45000.0,"(61.5, 30.5)"
15429,3000.0,"(44.5, 0.15)"
15430,6000.0,"(-14.2, 48.1)"
15436,1443.0,"(35.8, -84.1)"
15438,1000.0,"(45.36667, 1.86667)"
53653,24.54,"(0.0, 0.0)"
15443,1600.0,"(48.13333, 12.61667)"
15446,19000.0,"(48.18333, 13.13333)"
15447,220.0,"(-20.0, 57.0)"
15451,4850.0,"(8.96667, 12.08333)"
15453,4000.0,"(24.68333, -101.68333)"
15454,4975.0,"(-1.21667, 30.0)"
15455,150000.0,"(1.06667, 34.16667)"
15467,31.0,"(-27.25, -67.5)"
15469,22.0,"(29.01667, 77.8)"
15470,24750.0,"(-6.23333, 106.88333)"
15485,10500.0,"(53.18333, 13.15)"
15486,28.9,"(46.81867, 7.21817)"
15489,4000.0,"(55.05, 12.06667)"
15491,6000.0,"(0.0, 37.66667)"
15492,71400.0,"(25.48333, 81.98333)"
15495,2405.0,"(38.18333, 15.56667)"
16626,870.0,"(50.58333, 11.1)"
16627,1300.0,"(45.76667, 3.25)"
16628,22700.0,"(46.5, 25.73333)"
16629,350.0,"(25.9, 83.61667)"
16631,1100.0,"(34.8, 111.7)"
16632,1600.0,"(54.56667, -1.16667)"
52090,3584.0,"(42.9075, -90.36556)"
16634,8000.0,"(48.06667, 30.96667)"
16635,6380.0,"(35.56833, 133.22)"
16636,224.2,"(46.23333, 17.53333)"
16640,10000.0,"(46.18333, 16.1)"
16643,330000.0,"(-26.45, 120.36667)"
16645,16700.0,"(35.4, -92.05)"
16692,1040.0,"(35.07833, 136.93333)"
16696,42.0,"(37.28333, 14.7)"
16697,5500.0,"(32.33333, 120.66667)"
16700,550.0,"(47.7, 16.6)"
16701,8510.0,"(25.68333, 83.25)"
16703,5800.0,"(56.66667, 23.0)"
16707,100.7,"(61.73333, 5.93333)"
16709,300000.0,"(46.8, 24.03333)"
16711,35000.0,"(38.5, -101.1)"
16713,4500.0,"(-39.63333, 174.4)"
16715,144000.0,"(38.11667, -1.16667)"
16717,150.0,"(-31.25, 26.46667)"
16719,2587.0,"(31.60833, -102.85833)"
